Tipo,Descripcion,Localizacion,Atributos,Valor
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños98 m²,$ 680.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños300 m²,$ 2.519.000.000
Apartamento,Apartamento en venta en Nicolas De Federman,"Nicolas De Federman, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños87 m²,$ 420.000.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños82 m²,$ 620.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 / 45 m²,$ 239.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones6 baños380 m²,$ 1.600.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños50 m²,$ 420.000.000
Apartamento,Apartamento en venta en Nicolas De Federman,"Nicolas De Federman, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños89 m²,$ 625.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones5 baños365 m²,$ 2.799.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones5 baños450 m²,$ 1.450.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones5 baños315 m²,$ 2.000.000.000
Apartamento,Apartamento en venta en Mazuren,"Mazuren, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños102 / 91 m²,$ 670.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones6 baños423 m²,$ 1.800.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 m²,$ 469.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones2 baños200 / 306 m²,$ 580.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños67 / 72 m²,$ 445.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños66 / 66 m²,$ 261.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 / 74 m²,$ 278.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 / 57 m²,$ 258.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños87 m²,$ 520.000.000
Casa,Casa en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 / 71 m²,$ 200.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños45 / 50 m²,$ 129.000.000
Apartamento,Apartamento en venta en Villa Alsacia,"Villa Alsacia, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 / 65 m²,$ 350.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",32 habitaciones2 baños63 / 63 m²,$ 290.500.000
Apartamento,Apartamento en venta en Palermo,"Palermo, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños130 / 130 m²,$ 750.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño64 / 64 m²,$ 495.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños86 / 82 m²,$ 285.000.000
Apartamento,Apartamento en venta en La Candelaria,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",4 habitaciones4 baños160 m²,$ 900.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones4 baños294 m²,$ 1.800.000.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños206 / 206 m²,$ 990.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños103 / 103 m²,$ 418.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños80 / 80 m²,$ 349.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones1 baño101 m²,$ 565.000.000
Apartamento,Apartamento en venta en Mirandela ,"Mirandela , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños87 / 87 m²,$ 370.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 / 74 m²,$ 259.000.000
Apartamento,Apartamento en venta en Castilla,"Castilla, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 310.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños79 / 79 m²,$ 354.000.000
Apartamento,Apartamento en venta en Mazuren,"Mazuren, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños92 / 85 m²,$ 372.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños88 / 88 m²,$ 500.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños84 / 84 m²,$ 420.000.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños177 / 177 m²,$ 1.050.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño40 / 33 m²,$ 185.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños80 m²,$ 349.000.000
Apartamento,Apartamento en venta en Colina Campestre,"Colina Campestre, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños109 / 109 m²,$ 515.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 / 70 m²,$ 287.000.000
Apartamento,Apartamento en venta en Colina Campestre,"Colina Campestre, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño50 / 50 m²,$ 265.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños87 / 80 m²,$ 500.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños66 / 66 m²,$ 261.500.000
Apartamento,Apartamento en venta en Hayuelos,"Hayuelos, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños61 m²,$ 300.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 / 74 m²,$ 278.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 / 57 m²,$ 258.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños87 m²,$ 520.000.000
Apartamento,Apartamento en venta en Villa Alsacia,"Villa Alsacia, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 / 65 m²,$ 350.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",32 habitaciones2 baños63 / 63 m²,$ 290.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños45 / 50 m²,$ 129.000.000
Casa,Casa en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 / 71 m²,$ 200.000.000
Apartamento,Apartamento en venta en Palermo,"Palermo, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños130 / 130 m²,$ 750.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños103 / 103 m²,$ 418.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño64 / 64 m²,$ 495.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños80 / 80 m²,$ 349.000.000
Apartamento,Apartamento en venta en Castilla,"Castilla, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 310.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones1 baño101 m²,$ 565.000.000
Apartamento,Apartamento en venta en Mirandela ,"Mirandela , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños87 / 87 m²,$ 370.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 / 74 m²,$ 259.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños79 / 79 m²,$ 354.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños86 / 82 m²,$ 285.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños84 / 84 m²,$ 420.000.000
Apartamento,Apartamento en venta en Mazuren,"Mazuren, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños92 / 85 m²,$ 372.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños88 / 88 m²,$ 500.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño40 / 33 m²,$ 185.000.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños177 / 177 m²,$ 1.050.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños80 m²,$ 349.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones4 baños294 m²,$ 1.800.000.000
Apartamento,Apartamento en venta en La Candelaria,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",4 habitaciones4 baños160 m²,$ 900.000.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños206 / 206 m²,$ 990.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 / 57 m²,$ 225.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño44 / 48 m²,$ 148.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños53 / 50 m²,$ 331.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño58 / 58 m²,$ 300.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños152 / 152 m²,$ 1.030.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño40 / 33 m²,$ 195.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño40 / 33 m²,$ 200.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 168.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 / 68 m²,$ 323.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños86 / 86 m²,$ 275.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños114 / 114 m²,$ 510.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño44 / 44 m²,$ 176.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños100 m²,$ 680.000.000
Apartamento,Apartamento en venta en Quinta Paredes,"Quinta Paredes, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños100 m²,$ 680.000.000
Apartamento,Apartamento en venta en Hayuelos,"Hayuelos, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños45 m²,$ 217.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones5 baños178 m²,$ 1.050.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones3 baños105 m²,$ 375.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños98 m²,$ 458.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños200 m²,$ 2.000.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños69 / 69 m²,$ 425.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños73 m²,$ 318.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones4 baños158 / 125 m²,$ 660.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños100 m²,$ 730.000.000
Apartamento,Apartamento en venta en Candelaria La Nueva,"Candelaria La Nueva, Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño54 m²,$ 140.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 / 78 m²,$ 343.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños89 / 89 m²,$ 385.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones4 baños220 m²,$ 1.300.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños280 m²,$ 1.195.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños85 / 85 m²,$ 519.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños54 m²,$ 350.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 / 49 m²,$ 202.000.000
Apartamento,Apartamento en venta en Colina Campestre,"Colina Campestre, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños115 / 108650 m²,$ 429.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños88 / 88 m²,$ 640.000.000
Apartamento,Apartamento en venta en Mazuren,"Mazuren, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños67 m²,$ 435.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños100 / 100 m²,$ 610.000.000
Apartamento,Apartamento en venta en Normandia,"Normandia, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños77 / 77 m²,$ 650.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños61 / 61 m²,$ 421.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños150 m²,$ 1.300.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño39 m²,$ 155.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños100 m²,$ 530.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños58 / 58 m²,$ 330.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 m²,$ 225.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño50 m²,$ 143.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños51 m²,$ 245.500.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños97 m²,$ 433.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños71 m²,$ 315.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños82 m²,$ 450.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño57 / 48 m²,$ 350.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños51 m²,$ 205.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones5 baños236 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 / 54 m²,$ 169.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños66 / 66 m²,$ 375.000.000
Apartamento,Apartamento en venta en Las Villas,"Las Villas, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños120 / 102 m²,$ 460.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños48 / 48 m²,$ 308.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones4 baños104 m²,$ 1.100.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños69 / 65 m²,$ 400.000.000
Casa,Casa en venta en Modelia,"Modelia, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños200 m²,$ 860.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",7 habitaciones4 baños325 m²,$ 1.650.000.000
Apartamento,Apartamento en venta en San Patricio,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación1 baño53 m²,$ 565.000.000
Apartamento,Apartamento en venta en Barrancas,"Barrancas, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 m²,$ 238.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños108 m²,$ 503.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños86 / 81 m²,$ 330.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños69 / 65 m²,$ 400.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",7 habitaciones4 baños325 m²,$ 1.650.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños96 / 96 m²,$ 580.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños108 m²,$ 503.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones3 baños135 / 125 m²,$ 635.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños103 / 103 m²,$ 499.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños53 m²,$ 371.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños56 m²,$ 179.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños83 m²,$ 348.200.000
Apartamento,Apartamento en venta en Barrancas,"Barrancas, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 m²,$ 238.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 m²,$ 173.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños66 m²,$ 257.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones4 baños104 m²,$ 1.100.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 298.500.000
Apartamento,Apartamento en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños100 m²,$ 680.000.000
